Time,ID,PositionX,PositionY
0,Fool,-5,2.5
0,RevolverMan,-3.75,3.75
3,RevolverMan,-2.5,3.125
3,Fool,-0.625,2.5
3,Fool,1.25,1.875
9.5,RevolverMan,-1.25,3.75
10.5,ShotgunMan,0,0.625
11.5,Fool,1.25,2.5
16,RevolverMan,-5.625,0.625
17,Fool,-2.5,-2.5
17,ShotgunMan,-5,3.125
17.5,Fool,-5.625,-1.25
17.5,ShotgunMan,-5,1.875
17.5,Fool,-3.75,-1.875
19,Knight,6.25,1.875
19,ShotgunMan,5.625,3.125
20,Fool,1.25,1.875
20,RevolverMan,4.375,0.625
36,RevolverMan,5.625,0.625
36,RevolverMan,-5.625,-0.625
36.5,Fool,6.25,-1.25
36.5,Fool,-5,1.875
38,ShotgunMan,-6.25,3.125
38,RevolverMan,-4.375,2.5
38,Fool,5.625,2.5
38,RevolverMan,6.25,0
40,Fool,0,3.75
40,Fool,0,-3.75
58,MegaOctopus,-1,3.25
