Time,ID,PositionX,PositionY
0,Fool,-3.75,2.5
0,RevolverMan,3.75,2.5
0.5,RevolverMan,-3.75,-2.5
4,Fool,3.75,-2.5
16,RevolverMan,2.5,2.5
16.5,RevolverMan,3.75,1.875
17,ShotgunMan,4.375,2.5
18.5,Fool,1.875,1.875
18.5,ShotgunMan,1.25,0
19,ShotgunMan,0,2.5
19,Knight,0,0.625
19,Fool,1.25,7.5
20,RevolverMan,1.875,2.5
35,Fool,-5,0.625
35,RevolverMan,-3.75,0
38,RevolverMan,-2.5,-1.25
38,Fool,-0.625,2.5
38,RevolverMan,1.875,3.125
38,Fool,1.25,1.875
41.5,ShotgunMan,1.875,1.25
41.5,RevolverMan,-1.25,2.5
42.5,ShotgunMan,0,0.625
43.5,Fool,1.25,2.5
